"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0.502","0.912"," 1"," -4.556","1","0.0564","0.00002550","0.00017300","0.1060","0.7200","116.761","301920","4"
"0.436","0.876","10"," -4.902","0","0.0647","0.00003330","0.00010400","0.2050","0.5120","157.044","255080","4"
"0.500","0.824"," 4"," -5.846","0","0.0388","0.00016000","0.00161000","0.0916","0.5390","120.125","218920","4"
"0.262","0.969"," 4"," -4.675","1","0.0894","0.00000369","0.00213000","0.1330","0.2630","158.433","184040","4"
"0.678","0.656"," 7"," -6.410","1","0.0381","0.00174000","0.00000000","0.0631","0.4850","123.207","257053","4"
"0.830","0.382"," 2","-11.231","0","0.0566","0.88400000","0.30100000","0.1100","0.5400","121.120","173853","4"
"0.285","0.979"," 2"," -4.428","1","0.1750","0.00014400","0.00000000","0.3340","0.1080","182.700","142947","4"
"0.325","0.929","11"," -5.625","0","0.0695","0.00012900","0.00000222","0.1840","0.1980","133.358","223880","4"
"0.341","0.964","11"," -5.327","0","0.1070","0.00001260","0.00010300","0.1510","0.4590","152.192","156427","4"
"0.367","0.981","11"," -5.100","0","0.1280","0.00000539","0.04610000","0.0822","0.2050","165.210","211440","4"
"0.428","0.946"," 2"," -4.674","1","0.1020","0.00011900","0.00000337","0.1410","0.3580","133.260","194427","4"
"0.427","0.201"," 8","-13.044","1","0.0317","0.74500000","0.26300000","0.1090","0.0668","105.218","232147","4"
"0.271","0.959"," 7"," -5.866","1","0.1250","0.00025600","0.85400000","0.0858","0.0642","131.846","403293","4"
